Tesla,Musk,Gigafactory,Elon Mask
https://en.wikipedia.org/wiki/Elon_Musk,134,467,6,0
https://en.wikipedia.org/wiki/Wikipedia:Protection_policy#extended,0,0,0,0
https://en.wikipedia.org/wiki/Wikipedia:Protection_policy#semi,0,0,0,0
https://en.wikipedia.org/wiki/Wikipedia:Perennial_proposals,0,0,0,0
https://en.wikipedia.org/wiki/Wikipedia:Lists_of_protected_pages,0,0,0,0
https://en.wikipedia.org/wiki/Wikipedia:WikiProject_Parliamentary_Procedure,0,0,0,0
https://en.wikipedia.org/wiki/Wikipedia:Party_and_person,0,0,0,0
https://en.wikipedia.org/wiki/Wikipedia:Protection_policy#searchInput,0,0,0,0
https://en.wikipedia.org/wiki/Wikipedia:Protection_policy#mw-head,0,0,0,0
https://en.wikipedia.org/wiki/Wikipedia:Child_protection,0,0,0,0
https://en.wikipedia.org/wiki/Wikipedia:What_%22Ignore_all_rules%22_means#Use_common_sense,0,0,0,0
https://en.wikipedia.org/wiki/Wikipedia:Policies_and_guidelines,0,0,0,0
https://en.wikipedia.org/wiki/Wikipedia:Consensus,0,0,0,0
https://en.wikipedia.org/wiki/Wikipedia:WikiProject_Protected_areas,0,0,0,0
https://en.wikipedia.org/wiki/Wikipedia:Shortcut,0,0,0,0
https://en.wikipedia.org/wiki/Wikipedia:VD,0,0,0,0
https://en.wikipedia.org/wiki/Wikipedia:EW,0,0,0,0
https://en.wikipedia.org/wiki/Wikipedia:DE,0,0,0,0
https://en.wikipedia.org/wiki/Wikipedia:Requests_for_page_protection,0,0,0,0
https://en.wikipedia.org/wiki/Elon_Musk#mw-head,134,467,6,0
https://en.wikipedia.org/wiki/File:Elon_Musk_Royal_Society_(crop1).jpg,1,21,0,0
https://en.wikipedia.org/w/index.php?title=Wikipedia:PP&redirect=no,0,0,0,0
https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society,0,2,0,0
https://en.wikipedia.org/wiki/Elon_Musk#searchInput,134,467,6,0
https://en.wikipedia.org/wiki/Royal_Society,0,0,0,0
https://en.wikipedia.org/wiki/Pretoria,0,2,0,0
https://en.wikipedia.org/w/index.php?title=Wikipedia:PROTECT&redirect=no,0,0,0,0
https://en.wikipedia.org/wiki/Bachelor_of_Science,0,0,0,0
https://en.wikipedia.org/wiki/Bachelor_of_Arts,0,0,0,0
https://en.wikipedia.org/wiki/University_of_Pennsylvania,2,5,0,0
https://en.wikipedia.org/wiki/South_Africa,0,0,0,0
https://en.wikipedia.org/wiki/SpaceX,19,74,0,0
https://en.wikipedia.org/wiki/Elon_Musk#cite_note-net-1,134,467,6,0
"https://en.wikipedia.org/wiki/Tesla,_Inc.",881,176,32,0
https://en.wikipedia.org/wiki/X.com,7,26,0,0
https://en.wikipedia.org/wiki/The_Boring_Company,16,113,1,0
https://en.wikipedia.org/wiki/Neuralink,6,57,0,0
https://en.wikipedia.org/wiki/OpenAI,8,42,0,0
https://en.wikipedia.org/wiki/United_States_dollar,0,0,0,0
https://en.wikipedia.org/wiki/Elon_Musk,134,467,6,0
https://en.wikipedia.org/wiki/Wikipedia:Protection_policy#extended,0,0,0,0
https://en.wikipedia.org/wiki/Wikipedia:Protection_policy#semi,0,0,0,0
https://en.wikipedia.org/wiki/Wikipedia:Requests_for_page_protection,0,0,0,0
https://en.wikipedia.org/wiki/Wikipedia:Protection_policy#searchInput,0,0,0,0
https://en.wikipedia.org/wiki/Wikipedia:Protection_policy#mw-head,0,0,0,0
https://en.wikipedia.org/wiki/Wikipedia:Lists_of_protected_pages,0,0,0,0
https://en.wikipedia.org/wiki/Wikipedia:Party_and_person,0,0,0,0
https://en.wikipedia.org/wiki/Wikipedia:WikiProject_Parliamentary_Procedure,0,0,0,0
https://en.wikipedia.org/wiki/Wikipedia:Perennial_proposals,0,0,0,0
https://en.wikipedia.org/wiki/Wikipedia:Child_protection,0,0,0,0
https://en.wikipedia.org/wiki/Wikipedia:What_%22Ignore_all_rules%22_means#Use_common_sense,0,0,0,0
https://en.wikipedia.org/wiki/Wikipedia:Policies_and_guidelines,0,0,0,0
https://en.wikipedia.org/wiki/Wikipedia:WikiProject_Protected_areas,0,0,0,0
https://en.wikipedia.org/wiki/Wikipedia:Consensus,0,0,0,0
https://en.wikipedia.org/wiki/Wikipedia:Shortcut,0,0,0,0
https://en.wikipedia.org/wiki/Wikipedia:VD,0,0,0,0
https://en.wikipedia.org/wiki/Wikipedia:DE,0,0,0,0
https://en.wikipedia.org/wiki/Wikipedia:EW,0,0,0,0
https://en.wikipedia.org/wiki/Elon_Musk#mw-head,134,467,6,0
https://en.wikipedia.org/w/index.php?title=Elon_Musk&action=edit,291,934,13,0
https://en.wikipedia.org/wiki/File:Elon_Musk_Royal_Society_(crop1).jpg,1,21,0,0
https://en.wikipedia.org/w/index.php?title=Wikipedia:PP&redirect=no,0,0,0,0
https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society,0,2,0,0
https://en.wikipedia.org/wiki/Elon_Musk#searchInput,134,467,6,0
